oem,ownerNo,transmission,km,modelYear,Fuel Type,Engine Displacement,Mileage,Max Power,model,Gear Box,bt,price
Tata,1.0,Manual,16962.0,2022.0,Petrol,1199.0,17.57,118.36,Tata Nexon,6.0,SUV,1193000.0
Volkswagen,1.0,Manual,10000.0,2019.0,Petrol,999.0,18.78,75.0,Volkswagen Polo,5.0,Hatchback,900000.0
Mahindra,1.0,Manual,10000.0,2022.0,Diesel,1949.5,19.227390440730282,177.67499999999998,Mahindra XUV700,6.0,SUV,1775000.0
Volkswagen,1.0,Automatic,70446.0,2017.0,Petrol,1197.0,17.21,103.5,Volkswagen Polo,7.0,Hatchback,925000.0
Volkswagen,2.0,Automatic,60528.0,2017.0,Petrol,1197.0,17.21,103.5,Volkswagen Polo,7.0,Hatchback,865000.0
Volkswagen,1.0,Manual,7132.0,2021.0,Petrol,999.0,20.08,113.98,Volkswagen Taigun,6.0,SUV,1585000.0
Ford,3.5,Manual,100000.0,2009.0,Diesel,1399.0,17.8,68.0,Ford Fiesta,5.0,Sedan,120000.0
Mercedes-Benz,3.0,Automatic,80000.0,2012.0,Diesel,1949.5,11.74,177.67499999999998,Mercedes-Benz M-Class,7.0,SUV,1775000.0
Mercedes-Benz,1.0,Automatic,30000.0,2018.0,Petrol,1949.5,10.400000000000002,177.67499999999998,Mercedes-Benz GLE,7.5,SUV,1775000.0
Tata,3.0,Manual,120000.0,2015.0,Diesel,1405.0,17.88,48.21,Tata Indica V2,5.0,Hatchback,195000.0
Hyundai,1.0,Manual,21280.0,2018.0,Petrol,1197.0,18.6,81.83,Hyundai i20,5.0,Hatchback,799000.0
Ford,1.0,Automatic,82021.0,2017.0,Petrol,1499.0,15.63,110.4,Ford Ecosport,6.0,SUV,689000.0
Tata,1.0,Manual,18998.0,2023.0,Petrol,1199.0,17.33,118.35,Tata Nexon,6.0,SUV,1068000.0
Jeep,1.0,Manual,56189.0,2018.0,Diesel,1949.5,16.3,170.0,Jeep Compass,6.0,SUV,1775000.0
Maruti,2.0,Manual,57644.0,2020.0,Petrol,998.0,21.7,65.71,Maruti S-Presso,5.0,Hatchback,383000.0
Maruti,2.0,Manual,51286.0,2018.0,Petrol,796.0,24.7,47.3,Maruti Alto 800,5.0,Hatchback,327000.0
Mahindra,1.0,Manual,120000.0,2012.0,Diesel,1493.0,17.21,100.0,Mahindra Quanto,5.0,SUV,195000.0
Hyundai,1.0,Manual,27937.0,2019.0,Petrol,1197.0,20.7,81.86,Hyundai Grand i10 Nios,5.0,Hatchback,639000.0
Renault,2.0,Manual,64000.0,2013.0,Diesel,1461.0,20.45,83.8,Renault Duster,5.0,SUV,575000.0
Ford,2.0,Manual,40031.0,2017.0,Petrol,1499.0,15.85,110.4,Ford Ecosport,5.0,SUV,660000.0
Maruti,2.0,Manual,47619.0,2017.0,Petrol,796.0,22.05,47.33,Maruti Alto 800,5.0,Hatchback,325000.0
Hyundai,3.5,Manual,90000.0,2009.0,Petrol,1197.0,17.0,80.0,Hyundai i20,5.0,Hatchback,225000.0
Toyota,1.0,Automatic,20000.0,2022.0,Petrol,1462.0,18.76,103.26,Toyota Urban cruiser,4.0,SUV,1075000.0
Toyota,1.0,Manual,20000.0,2022.0,Petrol,1462.0,17.03,103.26,Toyota Urban cruiser,5.0,SUV,975000.0
Hyundai,3.0,Manual,70000.0,2010.0,Petrol,1197.0,20.36,78.9,Hyundai i10,5.0,Hatchback,300000.0
Maruti,3.0,Manual,110000.0,2011.0,Diesel,1248.0,21.5,88.8,Maruti SX4,5.0,Sedan,290000.0
Honda,3.0,Manual,40000.0,2012.0,Petrol,1198.0,19.4,86.8,Honda Brio,5.0,Hatchback,260000.0
Nissan,3.0,Manual,100000.0,2012.0,Diesel,1461.0,21.64,84.8,Nissan Sunny,5.0,Sedan,360000.0
BMW,3.5,Automatic,10000.0,2013.0,Diesel,1949.5,16.55,177.67499999999998,BMW X3,7.5,SUV,1500000.0
Hyundai,3.5,Manual,60000.0,2017.0,Petrol,814.0,21.1,55.2,Hyundai EON,5.0,Hatchback,250000.0
Mahindra,1.0,Automatic,24000.0,2021.0,Petrol,1949.5,15.2,150.0,Mahindra Thar,6.0,SUV,1774000.0
Hyundai,2.0,Manual,30535.0,2020.0,Petrol,998.0,18.0,118.35,Hyundai Venue,6.0,SUV,1073000.0
Maruti,2.0,Manual,20229.0,2017.0,Petrol,998.0,23.95,67.05,Maruti Alto K10,5.0,Hatchback,349000.0
Maruti,1.0,Manual,35800.0,2018.0,Petrol,998.0,21.63,67.05,Maruti Celerio,5.0,Hatchback,485000.0
Maruti,1.0,Manual,11453.0,2021.0,Petrol,1197.0,20.52,81.8,Maruti Wagon R,5.0,Hatchback,591000.0
Hyundai,1.0,Manual,35410.0,2016.0,Petrol,1197.0,18.6,81.83,Hyundai i20,5.0,Hatchback,657000.0
Maruti,1.0,Manual,50000.0,2009.0,Petrol,796.0,19.7,46.3,Maruti Alto,5.0,Hatchback,210000.0
Hyundai,1.0,Automatic,49948.0,2018.0,Petrol,1197.0,18.9,81.86,Hyundai Grand i10,4.0,Hatchback,591000.0
Volkswagen,2.0,Manual,77000.0,2014.0,Diesel,1199.0,22.07,73.9,Volkswagen Polo,5.0,Hatchback,510000.0
Hyundai,1.0,Manual,48285.0,2017.0,Petrol,1197.0,18.6,81.83,Hyundai i20,5.0,Hatchback,658000.0
Renault,1.0,Manual,19062.0,2021.0,Petrol,999.0,21.74,67.0,Renault KWID,5.0,Hatchback,514000.0
Hyundai,2.0,Automatic,70000.0,2011.0,Petrol,1197.0,16.95,78.9,Hyundai i10,4.0,Hatchback,330000.0
Mercedes-Benz,2.0,Automatic,120000.0,2015.0,Diesel,1949.5,13.0,177.67499999999998,Mercedes-Benz E-Class,7.0,Sedan,1775000.0
Citroen,1.0,Manual,10000.0,2022.0,Petrol,1199.0,19.3,108.62,Citroen C3,6.0,Hatchback,950000.0
Volkswagen,3.0,Manual,80000.0,2014.0,Petrol,1198.0,16.47,74.0,Volkswagen Polo,5.0,Hatchback,495000.0
Fiat,2.0,Manual,80000.0,2007.0,Petrol,1108.0,15.5,57.0,Fiat Palio,5.0,Hatchback,110000.0
Toyota,1.0,Manual,87000.0,2011.0,Petrol,1496.0,17.6,88.73,Toyota Etios,5.0,Sedan,330000.0
Volkswagen,1.0,Automatic,80000.0,2016.0,Diesel,1498.0,22.15,108.6,Volkswagen Vento,7.0,Sedan,775000.0
Maruti,2.0,Manual,110000.0,2010.0,Petrol,998.0,18.9,67.1,Maruti Wagon R,5.0,Hatchback,260000.0
Honda,3.0,Automatic,90000.0,2009.0,Petrol,1497.0,16.8,118.0,Honda City,5.0,Sedan,300000.0
Maruti,1.0,Automatic,30000.0,2019.0,Petrol,1197.0,21.21,81.8,Maruti Swift,5.0,Hatchback,650000.0
Maruti,1.0,Manual,56276.0,2016.0,Petrol,998.0,23.95,67.05,Maruti Alto K10,5.0,Hatchback,375000.0
Hyundai,1.0,Manual,27103.0,2016.0,Petrol,1197.0,18.6,81.83,Hyundai i20,5.0,Hatchback,647000.0
Ford,2.0,Manual,80000.0,2011.0,Diesel,1399.0,20.0,68.0,Ford Figo,5.0,Hatchback,245000.0
Maruti,1.0,Automatic,46507.0,2017.0,Petrol,1197.0,20.89,81.8,Maruti Ignis,5.0,Hatchback,591000.0
Hyundai,1.0,Manual,30000.0,2018.0,Petrol,1197.0,18.9,81.86,Hyundai Grand i10,5.0,Hatchback,575000.0
Maruti,1.0,Manual,39070.0,2017.0,Petrol,1197.0,21.21,81.8,Maruti Swift Dzire,5.0,Sedan,659000.0
Toyota,1.0,Manual,120000.0,2019.0,Diesel,1364.0,23.59,67.05,Toyota Etios,5.0,Sedan,720000.0
Maruti,1.0,Manual,22438.0,2020.0,Petrol,1197.0,21.01,81.8,Maruti Baleno,5.0,Hatchback,733000.0
Maruti,2.0,Automatic,21225.0,2020.0,Petrol,1197.0,21.4,83.1,Maruti Baleno,3.5,Hatchback,867000.0
Honda,1.0,Automatic,28737.0,2019.0,Petrol,1199.0,18.2,88.7,Honda Jazz,5.0,Hatchback,850000.0
Renault,1.0,Manual,20000.0,2021.0,Petrol,999.0,20.5,98.63,Renault Kiger,5.0,SUV,920000.0
Hyundai,1.0,Manual,30000.0,2019.0,Diesel,1396.0,22.54,88.76,Hyundai i20,6.0,Hatchback,720000.0
Chevrolet,3.0,Manual,70000.0,2009.0,Petrol,995.0,18.0,62.0,Chevrolet Spark,5.0,Hatchback,120000.0
Mercedes-Benz,2.0,Automatic,120000.0,2010.0,Diesel,1949.5,14.84,170.0,Mercedes-Benz C-Class,7.0,Sedan,650000.0
Hyundai,2.0,Manual,80000.0,2012.0,Petrol,1197.0,18.5,82.85,Hyundai i20,5.0,Hatchback,350000.0
Volkswagen,2.0,Manual,100000.0,2010.0,Diesel,1199.0,22.07,73.9,Volkswagen Polo,5.0,Hatchback,360000.0
Audi,1.0,Automatic,80000.0,2013.0,Diesel,1949.5,17.68,174.33,Audi A6,7.5,Sedan,1600000.0
Skoda,1.0,Manual,70000.0,2018.0,Diesel,1949.5,21.0,141.0,Skoda Octavia,6.0,Sedan,1600000.0
Hyundai,2.0,Manual,90106.0,2013.0,Diesel,1396.0,21.9,88.8,Hyundai i20,6.0,Hatchback,381000.0
Skoda,1.0,Manual,50000.0,2009.0,Petrol,1798.0,13.7,157.75,Skoda Superb,7.0,Sedan,400000.0
Maruti,1.0,Automatic,138175.0,2016.0,Petrol,998.0,26.68,65.71,Maruti Celerio,5.0,Hatchback,389000.0
Renault,1.0,Manual,55609.0,2019.0,Petrol,999.0,23.01,67.0,Renault KWID,5.0,Hatchback,445000.0
Tata,3.0,Manual,120000.0,2015.0,Diesel,1405.0,17.88,48.21,Tata Indica V2,5.0,Hatchback,186000.0
Maruti,1.0,Automatic,56410.0,2018.0,Petrol,1197.0,22.56,88.5,Maruti Swift,5.0,Hatchback,642000.0
Maruti,1.0,Manual,30000.0,2022.0,Petrol,1197.0,22.35,88.5,Maruti Baleno,5.0,Hatchback,725000.0
Hyundai,1.0,Manual,77593.0,2017.0,Petrol,1197.0,18.6,81.83,Hyundai i20,5.0,Hatchback,616000.0
Honda,1.0,Manual,49538.0,2018.0,Petrol,1199.0,17.5,88.7,Honda WR-V,5.0,SUV,694000.0
Chevrolet,3.5,Manual,87000.0,2012.0,Diesel,1949.5,17.3,163.7,Chevrolet Cruze,6.0,Sedan,400000.0
Mahindra,1.0,Manual,80000.0,2016.0,Diesel,1949.5,15.96,63.0,Mahindra Bolero,5.0,SUV,650000.0
Datsun,2.0,Manual,50000.0,2018.0,Petrol,999.0,22.5,67.0,Datsun RediGO,5.0,Hatchback,300000.0
Maruti,1.0,Manual,120000.0,2012.0,Diesel,1248.0,22.9,74.0,Maruti Swift,5.0,Hatchback,400000.0
Maruti,1.0,Manual,30000.0,2018.0,Petrol,1197.0,22.0,81.8,Maruti Swift,5.0,Hatchback,649000.0
Hyundai,3.0,Manual,120000.0,2010.0,Petrol,1086.0,17.92,62.1,Hyundai Santro Xing,5.0,Hatchback,240000.0
Hyundai,1.0,Automatic,30000.0,2021.0,Petrol,1197.0,20.7,81.86,Hyundai Grand i10 Nios,5.0,Hatchback,800000.0
Maruti,1.0,Manual,100000.0,2009.0,Diesel,1248.0,17.8,82.98612068965517,Maruti Swift,5.0,Hatchback,350000.0
Maruti,2.0,Manual,41268.0,2016.0,Petrol,998.0,25.24,65.71,Maruti Celerio,5.0,Hatchback,415000.0
Maruti,1.0,Manual,60020.0,2011.0,Petrol,1197.0,22.38,88.5,Maruti Swift,5.0,Hatchback,384000.0
Mahindra,1.0,Manual,120000.0,2015.0,Diesel,1949.5,16.0,140.0,Mahindra XUV500,6.0,SUV,900000.0
Hyundai,1.0,Manual,32148.0,2016.0,Diesel,1396.0,22.54,88.73,Hyundai i20,6.0,Hatchback,782000.0
Maruti,1.0,Automatic,69565.0,2016.0,Petrol,998.0,26.0,65.71,Maruti Celerio,5.0,Hatchback,463000.0
Honda,1.0,Manual,60000.0,2017.0,Diesel,1498.0,27.3,98.6,Honda Jazz,6.0,Hatchback,660000.0
Maruti,1.0,Automatic,26007.0,2018.0,Petrol,1197.0,22.56,88.5,Maruti Swift,5.0,Hatchback,663000.0
Ford,2.0,Manual,30000.0,2018.0,Petrol,999.0,18.88,123.24,Ford Ecosport,5.0,SUV,900000.0
Maruti,2.0,Manual,134850.0,2010.0,Petrol,1197.0,22.38,88.5,Maruti Swift,5.0,Hatchback,316000.0
Maruti,1.0,Manual,44385.0,2015.0,Petrol,998.0,25.24,65.71,Maruti Celerio,5.0,Hatchback,436000.0
Tata,2.0,Manual,120000.0,2009.0,Diesel,1949.5,13.93,138.0,Tata New Safari,5.0,SUV,280000.0
Hyundai,1.0,Manual,30000.0,2018.0,Diesel,1582.0,19.67,126.2,Hyundai Creta,6.0,SUV,1350000.0
BMW,3.0,Automatic,87000.0,2011.0,Diesel,1949.5,13.2,170.0,BMW 3 Series,6.0,Sedan,975000.0
Honda,1.0,Automatic,102662.0,2014.0,Petrol,1497.0,18.0,117.3,Honda City,5.0,Sedan,520000.0
Skoda,1.0,Automatic,13802.0,2022.0,Petrol,999.0,17.2,113.98,Skoda Kushaq,6.0,SUV,1765000.0
Ford,3.5,Manual,90000.0,2011.0,Diesel,1399.0,20.0,68.0,Ford Figo,5.0,Hatchback,175000.0
Hyundai,2.0,Manual,40000.0,2011.0,Petrol,1197.0,17.0,80.0,Hyundai i20,5.0,Hatchback,400000.0
Mercedes-Benz,2.0,Automatic,65000.0,2011.0,Petrol,1949.5,14.74,177.67499999999998,Mercedes-Benz C-Class,7.5,Sedan,950000.0
Kia,1.0,Manual,42000.0,2020.0,Petrol,1353.0,16.1,138.0,Kia Seltos,6.0,SUV,1595000.0
Hyundai,2.0,Automatic,13444.0,2017.0,Petrol,1197.0,18.9,81.86,Hyundai Grand i10,4.0,Hatchback,593000.0
Mahindra,1.0,Manual,56226.0,2019.0,Diesel,1497.0,20.0,115.0,Mahindra XUV300,6.0,SUV,1057000.0
Renault,1.0,Automatic,8733.0,2020.0,Petrol,999.0,22.0,67.0,Renault KWID,5.0,Hatchback,560000.0
Honda,1.0,Automatic,57963.0,2020.0,Petrol,1498.0,18.3,119.35,Honda City,3.5,Sedan,1264000.0
Honda,1.0,Automatic,19508.0,2022.0,Petrol,1497.0,16.4,78.0,Honda City,5.0,Sedan,1666000.0
Honda,1.0,Manual,49423.0,2018.0,Petrol,1497.0,17.4,117.6,Honda City,5.0,Sedan,789000.0
Maruti,2.0,Manual,78622.0,2012.0,Petrol,1197.0,22.38,88.5,Maruti Swift,5.0,Hatchback,459000.0
Hyundai,1.0,Manual,18025.0,2022.0,Diesel,1493.0,19.227390440730282,113.45,Hyundai Venue,6.0,SUV,1275000.0
Honda,1.0,Manual,68220.0,2010.0,Petrol,1497.0,17.0,118.0,Honda City,5.0,Sedan,375000.0
Jeep,1.0,Automatic,6000.0,2022.0,Diesel,1949.5,15.7,172.35,Jeep Meridian,7.5,SUV,1775000.0
Mahindra,1.0,Manual,59889.0,2018.0,Diesel,1949.5,16.55,105.0,Mahindra Thar,5.0,SUV,985000.0
Jaguar,2.0,Automatic,11000.0,2019.0,Diesel,1949.5,13.5,177.0,Jaguar XE,7.5,Sedan,1775000.0
Hyundai,1.0,Manual,38500.0,2019.0,Petrol,1197.0,18.6,81.86,Hyundai i20,5.0,Hatchback,825000.0
Toyota,2.0,Automatic,120000.0,2013.0,Diesel,1949.5,12.55,168.5,Toyota Fortuner,5.0,SUV,1625000.0
BMW,2.0,Automatic,39157.0,2016.0,Diesel,1949.5,22.69,177.67499999999998,BMW 3 Series,7.5,Sedan,1775000.0
Toyota,1.0,Manual,155000.0,2008.0,Diesel,1949.5,12.8,102.0,Toyota Innova,5.0,MUV,825000.0
BMW,2.0,Automatic,89900.0,2013.0,Petrol,1598.0,16.28,136.0,BMW 1 Series,7.5,Hatchback,1175000.0
Maruti,1.0,Automatic,58666.0,2017.0,Petrol,1197.0,21.4,83.1,Maruti Baleno,3.5,Hatchback,656000.0
Maruti,1.0,Automatic,54137.0,2018.0,Petrol,1197.0,21.21,81.8,Maruti Swift Dzire,5.0,Sedan,612000.0
Toyota,2.0,Manual,155000.0,2011.0,Diesel,1949.5,11.5,171.0,Toyota Fortuner,5.0,SUV,1195000.0
Renault,1.0,Manual,21997.0,2019.0,Petrol,999.0,23.01,67.0,Renault KWID,5.0,Hatchback,436000.0
Maruti,2.0,Automatic,40394.0,2020.0,Petrol,1197.0,21.21,81.8,Maruti Swift Dzire,5.0,Sedan,721000.0
BMW,2.0,Automatic,49000.0,2015.0,Diesel,1949.5,17.05,177.67499999999998,BMW X1,7.5,SUV,1750000.0
Ford,1.0,Manual,80390.0,2017.0,Petrol,1499.0,15.85,110.4,Ford Ecosport,5.0,SUV,620000.0
Mercedes-Benz,1.0,Automatic,52721.0,2018.0,Diesel,1949.5,12.6,177.67499999999998,Mercedes-Benz C-Class,7.5,Sedan,1775000.0
Maruti,1.0,Automatic,55127.0,2017.0,Petrol,1197.0,21.4,83.1,Maruti Baleno,3.5,Hatchback,643000.0
Ford,2.0,Manual,35922.0,2018.0,Diesel,1498.0,23.0,98.96,Ford Ecosport,5.0,SUV,822000.0
Honda,1.0,Automatic,16883.0,2019.0,Petrol,1199.0,19.0,88.76,Honda Amaze,3.5,Sedan,838000.0
Renault,2.0,Manual,86000.0,2013.0,Diesel,1461.0,19.6,108.45,Renault Duster,6.0,SUV,625000.0
Skoda,1.0,Automatic,88000.0,2016.0,Petrol,1798.0,15.1,177.67499999999998,Skoda Octavia,7.0,Sedan,1125000.0
Jeep,1.0,Automatic,34000.0,2020.0,Diesel,1949.5,17.1,173.0,Jeep Compass,6.0,SUV,1775000.0
Skoda,1.0,Manual,110000.0,2013.0,Diesel,1199.0,20.86,75.0,Skoda Fabia,5.0,Hatchback,345000.0
Renault,1.0,Manual,55398.0,2020.0,Diesel,1461.0,19.87,84.0,Renault Duster,5.0,SUV,999000.0
Ford,2.0,Automatic,54000.0,2015.0,Petrol,1496.0,14.7,120.69,Ford Ecosport,6.0,SUV,675000.0
Volkswagen,1.0,Manual,25829.0,2019.0,Petrol,999.0,18.78,75.0,Volkswagen Polo,5.0,Hatchback,875000.0
Maruti,1.0,Manual,36913.0,2016.0,Petrol,998.0,23.1,67.04,Maruti Celerio,5.0,Hatchback,485000.0
Hyundai,1.0,Manual,34000.0,2018.0,Diesel,1396.0,22.54,88.73,Hyundai i20,6.0,Hatchback,775000.0
Maruti,2.0,Automatic,42162.0,2018.0,Petrol,1197.0,22.56,88.5,Maruti Swift,5.0,Hatchback,655000.0
Maruti,2.0,Automatic,48041.0,2016.0,Petrol,998.0,23.1,67.04,Maruti Celerio,5.0,Hatchback,525000.0
Renault,3.0,Manual,43285.0,2020.0,Petrol,999.0,23.01,67.0,Renault KWID,5.0,Hatchback,442000.0
Hyundai,1.0,Manual,44326.0,2012.0,Petrol,1197.0,18.5,82.85,Hyundai i20,5.0,Hatchback,476000.0
Volkswagen,2.0,Automatic,62984.0,2017.0,Petrol,1197.0,17.21,103.5,Volkswagen Polo,7.0,Hatchback,865000.0
Maruti,2.0,Manual,99276.0,2010.0,Petrol,1197.0,22.38,88.5,Maruti Swift,5.0,Hatchback,338000.0
Hyundai,2.0,Automatic,42812.0,2018.0,Petrol,1591.0,13.0,121.3,Hyundai Creta,6.0,SUV,1299000.0
Maruti,1.0,Manual,57770.0,2013.0,Petrol,1197.0,22.38,88.5,Maruti Swift,5.0,Hatchback,492000.0
Hyundai,3.0,Automatic,42220.0,2017.0,Petrol,1197.0,18.9,81.86,Hyundai Grand i10,4.0,Hatchback,544000.0
Mahindra,1.0,Automatic,66977.0,2016.0,Diesel,1949.5,16.0,140.0,Mahindra XUV500,6.0,SUV,1365000.0
Hyundai,1.0,Manual,29916.0,2021.0,Petrol,998.0,18.0,118.35,Hyundai Venue,6.0,SUV,1085000.0
Skoda,1.0,Automatic,10066.0,2022.0,Petrol,999.0,18.07,113.98,Skoda Slavia,6.0,Sedan,1488000.0
Skoda,2.0,Automatic,39243.0,2019.0,Petrol,1598.0,14.84,103.2,Skoda Rapid,6.0,Sedan,939000.0
Skoda,2.0,Automatic,36309.0,2017.0,Petrol,1598.0,14.84,103.2,Skoda Rapid,6.0,Sedan,888000.0
Maruti,1.0,Automatic,69408.0,2014.0,Petrol,998.0,23.1,67.04,Maruti Celerio,5.0,Hatchback,425000.0
Honda,2.0,Automatic,12064.0,2019.0,Petrol,1199.0,19.0,88.76,Honda Amaze,3.5,Sedan,818000.0
Mercedes-Benz,1.0,Automatic,74000.0,2013.0,Diesel,1949.5,14.21,177.67499999999998,Mercedes-Benz E-Class,5.0,Sedan,1775000.0
Maruti,1.0,Automatic,18000.0,2018.0,Petrol,1197.0,22.0,81.8,Maruti Swift,5.0,Hatchback,695000.0
Volkswagen,1.0,Automatic,59000.0,2010.0,Petrol,1598.0,14.4,103.6,Volkswagen Vento,6.0,Sedan,475000.0
Hyundai,1.0,Manual,17190.0,2018.0,Petrol,1197.0,18.9,81.86,Hyundai Grand i10,5.0,Hatchback,551000.0
Maruti,1.0,Manual,58323.0,2013.0,Petrol,998.0,18.9,67.1,Maruti Wagon R,5.0,Hatchback,352000.0
Honda,1.0,Manual,40765.0,2015.0,Petrol,1497.0,17.8,117.3,Honda City,5.0,Sedan,600000.0
Maruti,2.0,Automatic,58198.0,2016.0,Petrol,998.0,26.0,65.71,Maruti Celerio,5.0,Hatchback,479000.0
Hyundai,1.0,Manual,42976.0,2019.0,Petrol,1197.0,18.9,81.86,Hyundai Grand i10,5.0,Hatchback,559000.0
Maruti,1.0,Manual,44074.0,2012.0,Petrol,1197.0,22.41,88.5,Maruti Swift Dzire,5.0,Sedan,409000.0
Maruti,1.0,Automatic,21000.0,2017.0,Petrol,998.0,21.79,67.05,Maruti Wagon R,5.0,Hatchback,539000.0
Maruti,1.0,Manual,14089.0,2021.0,Petrol,1197.0,22.38,88.5,Maruti Swift,5.0,Hatchback,737000.0
Honda,2.0,Manual,94378.0,2014.0,Diesel,1498.0,26.0,98.6,Honda City,6.0,Sedan,526000.0
Mahindra,1.0,Automatic,71000.0,2016.0,Diesel,1949.5,16.0,140.0,Mahindra XUV500,6.0,SUV,1350000.0
Toyota,1.0,Manual,155000.0,2018.0,Diesel,1949.5,14.24,174.5,Toyota Fortuner,6.0,SUV,1775000.0
Hyundai,2.0,Automatic,58000.0,2016.0,Petrol,1197.0,18.9,82.0,Hyundai Grand i10,4.0,Hatchback,585000.0
Audi,2.0,Automatic,113000.0,2014.0,Diesel,1949.5,15.73,174.33,Audi Q3,7.0,SUV,1495000.0
Volvo,2.0,Automatic,155000.0,2010.0,Diesel,1949.5,11.1,177.67499999999998,Volvo XC 90,6.0,SUV,1090000.0
Audi,2.0,Automatic,30000.0,2016.0,Diesel,1949.5,18.25,177.67499999999998,Audi A4,7.0,Sedan,1775000.0
Maruti,1.0,Manual,59000.0,2014.0,Petrol,1197.0,19.1,85.8,Maruti Swift Dzire,5.0,Sedan,590000.0
Mahindra,1.0,Manual,25883.0,2021.0,Diesel,1949.5,15.1,152.87,Mahindra XUV500,6.0,SUV,1775000.0
Volkswagen,1.0,Manual,32746.0,2021.0,Petrol,999.0,20.08,113.98,Volkswagen Taigun,6.0,SUV,1545000.0
Skoda,1.0,Automatic,35038.0,2017.0,Petrol,1798.0,14.7,177.5,Skoda Octavia,7.0,Sedan,1775000.0
Ford,3.0,Manual,38995.0,2018.0,Petrol,1194.0,19.0,94.68,Ford Freestyle,5.0,Hatchback,540000.0
Maruti,1.0,Manual,61102.0,2013.0,Petrol,1197.0,22.38,88.5,Maruti Swift,5.0,Hatchback,491000.0
Skoda,2.0,Manual,132000.0,2012.0,Diesel,1949.5,17.67,138.08,Skoda Yeti,6.0,SUV,625000.0
Maruti,1.0,Manual,52288.0,2021.0,Petrol,998.0,21.7,65.71,Maruti S-Presso,5.0,Hatchback,436000.0
Honda,1.0,Automatic,69054.0,2017.0,Petrol,1199.0,19.0,88.7,Honda Jazz,5.0,Hatchback,616000.0
Renault,1.0,Manual,67000.0,2015.0,Petrol,1598.0,13.24,102.57,Renault Duster,5.0,SUV,675000.0
Maruti,2.0,Manual,51745.0,2015.0,Diesel,1248.0,26.59,74.0,Maruti Swift Dzire,5.0,Sedan,533000.0
Audi,1.0,Automatic,22000.0,2015.0,Petrol,1798.0,16.6,177.0,Audi A3 cabriolet,7.0,Convertibles,1775000.0
Hyundai,2.0,Manual,11268.0,2017.0,Petrol,1197.0,18.9,81.86,Hyundai Grand i10,5.0,Hatchback,626000.0
Tata,1.0,Manual,24357.0,2020.0,Petrol,1199.0,20.09,84.82,Tata Tiago,5.0,Hatchback,632000.0
Toyota,2.0,Manual,155000.0,2016.0,Diesel,1949.5,13.68,147.51,Toyota Innova Crysta,5.0,MUV,1775000.0
Honda,1.0,Manual,9982.0,2018.0,Petrol,1497.0,17.0,118.0,Honda City,5.0,Sedan,1000000.0
Audi,1.0,Automatic,22000.0,2020.0,Diesel,1949.5,20.38,143.0,Audi A3,6.0,Sedan,1775000.0
Hyundai,1.0,Manual,27000.0,2020.0,Petrol,998.0,18.0,118.35,Hyundai Venue,6.0,SUV,1085000.0
BMW,2.0,Automatic,68000.0,2017.0,Diesel,1949.5,22.69,177.67499999999998,BMW 3 Series,7.5,Sedan,1775000.0
Hyundai,1.0,Automatic,19000.0,2022.0,Petrol,998.0,18.15,118.35,Hyundai Venue,7.0,SUV,1365000.0
BMW,2.0,Automatic,41000.0,2012.0,Diesel,1949.5,17.05,177.67499999999998,BMW X1,7.5,SUV,1550000.0
BMW,1.0,Automatic,49000.0,2018.0,Diesel,1949.5,20.68,177.67499999999998,BMW X1,7.5,SUV,1775000.0
BMW,2.0,Automatic,45000.0,2018.0,Diesel,1949.5,20.37,177.67499999999998,BMW 5 Series,7.5,Sedan,1775000.0
BMW,2.0,Automatic,75000.0,2016.0,Diesel,1949.5,11.7,177.67499999999998,BMW X5,7.5,SUV,1775000.0
Maruti,1.0,Manual,39613.0,2015.0,Petrol,998.0,25.24,65.71,Maruti Celerio,5.0,Hatchback,483000.0
Honda,2.0,Automatic,68906.0,2018.0,Petrol,1497.0,18.0,117.6,Honda City,3.5,Sedan,1007000.0
Renault,1.0,Automatic,33000.0,2019.0,Petrol,1498.0,13.9,105.0,Renault Duster,6.0,SUV,995000.0
Maruti,1.0,Manual,71423.0,2016.0,Petrol,1197.0,22.41,88.5,Maruti Swift Dzire,5.0,Sedan,573000.0
Maruti,1.0,Manual,17811.0,2015.0,Petrol,1197.0,22.41,88.5,Maruti Swift Dzire,5.0,Sedan,658000.0
Hyundai,1.0,Automatic,79000.0,2017.0,Diesel,1582.0,17.6,126.2,Hyundai Creta,6.0,SUV,1245000.0
Maruti,1.0,Automatic,9724.0,2020.0,Petrol,1197.0,21.4,83.1,Maruti Baleno,3.5,Hatchback,906000.0
Hyundai,1.0,Manual,75000.0,2019.0,Petrol,1591.0,15.8,121.3,Hyundai Creta,6.0,SUV,1195000.0
Toyota,1.0,Manual,20754.0,2021.0,Petrol,1496.0,17.1,105.94,Toyota Yaris,6.0,Sedan,1031000.0
Hyundai,3.0,Manual,50510.0,2015.0,Petrol,1197.0,18.9,82.0,Hyundai Grand i10,5.0,Hatchback,413000.0
Hyundai,1.0,Manual,35000.0,2019.0,Petrol,1197.0,18.9,81.86,Hyundai Grand i10,5.0,Hatchback,624000.0
Hyundai,3.0,Manual,85000.0,2011.0,Diesel,1582.0,22.32,126.32,Hyundai Verna,6.0,Sedan,465000.0
Honda,1.0,Automatic,48979.0,2018.0,Petrol,1497.0,18.0,117.3,Honda City,5.0,Sedan,1050000.0
